Date,Price,Market Caps,Volumes
2017-05-21 00:00:00.000,2043.42,33568054937.0756,274198303.3238714
2017-05-22 00:00:00.000,2053.8788,34479453631.095,264478153.79685724
2017-05-23 00:00:00.000,2109.3963,37479380943.125,580030832.7898638
2017-05-24 00:00:00.000,2292.7025,40025140034.1006,389402023.7389176
2017-05-25 00:00:00.000,2448.1313,38704024228.25,555024432.8249408
2017-05-26 00:00:00.000,2366.9725,36997900173.0,889791512.2689184
2017-05-27 00:00:00.000,2262.36,34066387966.5,716011543.9589934
2017-05-28 00:00:00.000,2082.845,36305932627.5,683119789.1268574
2017-05-29 00:00:00.000,2219.4875,37402630788.11,401864331.3271442
2017-05-30 00:00:00.000,2286.2663,35466825282.315,312368211.91593516
2017-05-31 00:00:00.000,2167.6438,38113024210.0,335746190.66623986
2017-06-01 00:00:00.000,2329.0775,39868442921.8656,416350458.7178713
2017-06-02 00:00:00.000,2436.0363,41152717323.6675,438586633.5187092
2017-06-03 00:00:00.000,2514.2275,41949676689.0,292795886.85332465
2017-06-04 00:00:00.000,2562.54,41854068527.985,304803966.17644024
2017-06-05 00:00:00.000,2556.405,44563721217.1875,254469613.91820475
2017-06-06 23:29:55.701,2721.5525,47547556371.0756,334411829.5166427
2017-06-07 00:00:00.000,2903.4438,44484425844.04,1211604496.354524
2017-06-08 23:39:21.692,2716.0588,46261410000.6806,717931660.7865304
2017-06-09 00:00:00.000,2824.2038,46149913864.145,580940070.4176636
2017-06-10 00:00:00.000,2817.0638,48127389931.89,393210044.6730309
2017-06-11 00:00:00.000,2937.4538,49382412955.42,354694237.39057237
2017-06-12 00:00:00.000,3013.7138,44267424094.875,350197483.3404642
2017-06-13 00:00:00.000,2701.255,44844697932.88,792436484.821471
2017-06-14 00:00:00.000,2736.1888,41033780985.98741,410084483.665015
2017-06-15 00:00:00.000,2503.40127294964,40072859209.16968,565476421.7798644
2017-06-16 00:00:00.000,2444.49371230854,41213920649.6624,845674827.7127961
2017-06-17 00:00:00.000,2513.81034764638,44001982613.919,404682134.6180688
2017-06-18 00:00:00.000,2683.5713440378,42262755911.74297,386716359.4470909
2017-06-19 00:00:00.000,2577.21936114026,42971547871.184555,320439362.70244586
2017-06-20 00:00:00.000,2620.13645139993,45561980141.81072,307738404.7993459
2017-06-21 00:00:00.000,2777.79265567999,44569583131.63903,461719561.5390207
2017-06-22 00:00:00.000,2717.00310788798,44703988751.351746,447106675.7720245
2017-06-23 00:00:00.000,2724.91221331707,44920255723.30297,273815444.4663382
2017-06-24 00:00:00.000,2737.74623109829,42966679003.94212,187781433.42478496
2017-06-25 00:00:00.000,2618.41673570888,42781394178.82268,314564252.5547436
2017-06-26 00:00:00.000,2606.8632352265,40837922140.409676,320081172.027822
2017-06-27 00:00:00.000,2488.19416337737,41550828140.55376,540038332.4734977
2017-06-28 00:00:00.000,2531.34899878484,42279511902.81053,518735269.2034187
2017-06-29 00:00:00.000,2575.43777025493,42057301540.09505,351206317.75963986
2017-06-30 00:00:00.000,2561.68143454198,40897674121.940735,239853090.84820977
2017-07-01 00:00:00.000,2490.75348798041,40066457532.22669,210111037.78145665
2017-07-02 00:00:00.000,2439.82055973389,41365191378.720184,207555417.49021047
2017-07-03 00:00:00.000,2518.54569431263,42326047726.1706,226784228.5962842
2017-07-04 00:00:00.000,2576.7146569746,42894251457.13055,304599469.9256256
2017-07-05 00:00:00.000,2610.99757474179,42836970322.05267,274900590.57347757
2017-07-06 00:00:00.000,2607.21930206989,42931269844.38585,238310795.50144583
2017-07-07 00:00:00.000,2612.67042830497,41236052946.94405,175365965.04167378
2017-07-08 00:00:00.000,2509.21820981689,42128232902.263275,260711000.65693903
2017-07-09 00:00:00.000,2563.19551359687,41409824820.38926,178182801.69270346
2017-07-10 00:00:00.000,2519.21739188349,38856285254.84228,117876420.56676134
2017-07-11 00:00:00.000,2363.51568155487,38703498121.36672,387541497.1273901
2017-07-12 00:00:00.000,2353.91066125207,39258160520.55891,420715282.36799073
2017-07-13 00:00:00.000,2387.32891171674,38884514157.240425,314834432.76192206
2017-07-14 00:00:00.000,2364.32126576467,36658380771.82992,233041527.6837674
