Dates,High,Low,Open,Close,Volume,Quote Volume,Average Price
2015-12-01 00:00:00,0.00234464,0.00228703,0.00230721,0.00230698,30.72134576,13299.52130519,0.00230995
2015-12-01 04:00:00,0.00234504,0.002281,0.00230701,0.002281,35.20856109,15322.67334916,0.0022978
2015-12-01 08:00:00,0.00249152,0.00228105,0.002297,0.0024,330.82723608,137586.45053056,0.0024045
2015-12-01 12:00:00,0.00241427,0.00236961,0.0024,0.0023927,46.53005244,19506.6326932,0.00238534
2015-12-01 16:00:00,0.00247199,0.00237122,0.0023925,0.0024269,76.83499689,31505.32308755,0.00243879
2015-12-01 20:00:00,0.00244952,0.00236541,0.00244377,0.0024,67.83236228,28233.44759867,0.00240255
2015-12-02 00:00:00,0.0024749,0.00237506,0.0024,0.002405,149.71860584,61774.93406007,0.00242361
2015-12-02 04:00:00,0.00250608,0.00239,0.002405,0.00240268,128.26842529,52096.54444017,0.00246212
2015-12-02 08:00:00,0.0024367,0.00238428,0.00240279,0.00239999,39.84431457,16582.2286758,0.00240283
2015-12-02 12:00:00,0.00240099,0.0023111,0.00239999,0.00234999,123.39478988,52466.44410533,0.00235188
2015-12-02 16:00:00,0.00236997,0.00228501,0.00234501,0.00230007,93.29873926,40272.9624799,0.00231665
2015-12-02 20:00:00,0.00233404,0.00226034,0.00231973,0.00228301,54.20382495,23680.80744861,0.00228893
2015-12-03 00:00:00,0.00230936,0.00211,0.002287,0.002198,293.88838442,133161.6678799,0.002207
2015-12-03 04:00:00,0.00228,0.00216721,0.002198,0.00220169,141.94137614,64300.41475979,0.00220747
2015-12-03 08:00:00,0.00228854,0.00212,0.0022017,0.00223943,136.319699,62609.99235709,0.00217728
2015-12-03 12:00:00,0.00228,0.0021915,0.00223908,0.00222873,50.44919578,22558.81926269,0.00223634
2015-12-03 16:00:00,0.00230579,0.00222874,0.00222874,0.00228434,46.01957981,20242.37858717,0.00227342
2015-12-03 20:00:00,0.0023,0.00223022,0.00228426,0.00223877,28.61391731,12645.6343389,0.00226275
2015-12-04 00:00:00,0.00231896,0.00222873,0.00223877,0.00229851,51.025735,22393.77434614,0.00227856
2015-12-04 04:00:00,0.0023,0.00226,0.00226918,0.002261,29.25172209,12908.16016381,0.00226614
2015-12-04 08:00:00,0.0023071,0.002253,0.002261,0.00229,32.84008214,14375.59515721,0.00228443
2015-12-04 12:00:00,0.00229594,0.00222599,0.00229,0.00222666,72.0721845,32021.21926298,0.00225076
2015-12-04 16:00:00,0.00226691,0.0022,0.00222599,0.00222004,65.89857195,29701.13847632,0.00221872
2015-12-04 20:00:00,0.00239999,0.00221018,0.00222,0.00230325,193.16411798,83019.62381163,0.00232672
2015-12-05 00:00:00,0.00234,0.00222501,0.00230428,0.00224653,32.0582671,14174.08298685,0.00226175
2015-12-05 04:00:00,0.00227186,0.00222875,0.00222875,0.00224001,15.18136515,6739.28722691,0.00225266
2015-12-05 08:00:00,0.00228806,0.00223115,0.00224999,0.002259,37.3659324,16593.13660497,0.00225189
2015-12-05 12:00:00,0.002287,0.00224,0.002255,0.0022592,39.35759777,17453.28159314,0.00225502
2015-12-05 16:00:00,0.0022879,0.00225,0.0022592,0.00226125,19.29972765,8510.15400478,0.00226784
2015-12-05 20:00:00,0.00230349,0.00216934,0.002265,0.00219544,193.79535805,86702.58536424,0.00223517
2015-12-06 00:00:00,0.00223831,0.002151,0.00219542,0.00217177,177.12844592,81039.47889823,0.0021857
2015-12-06 04:00:00,0.00223636,0.00213,0.00220651,0.00218123,106.53424101,48867.61441007,0.00218005
2015-12-06 08:00:00,0.00221754,0.00212533,0.00218552,0.00217003,79.54160077,36592.37513669,0.00217372
2015-12-06 12:00:00,0.0022015,0.00216412,0.00217021,0.002195,34.87465497,15906.29249708,0.0021925
2015-12-06 16:00:00,0.00219998,0.00207485,0.00219747,0.00212002,162.96520336,76644.47134948,0.00212624
2015-12-06 20:00:00,0.00215999,0.002082,0.00212001,0.00211985,73.95451389,35001.1398919,0.00211291
2015-12-07 00:00:00,0.00218,0.00209021,0.00213999,0.00212998,83.62321602,39218.98083919,0.00213221
2015-12-07 04:00:00,0.00219392,0.00207376,0.00212998,0.00208007,114.12105313,54185.35530548,0.00210612
2015-12-07 08:00:00,0.00212087,0.0020345,0.00208007,0.00204003,97.27628381,46965.32677858,0.00207123
2015-12-07 12:00:00,0.002052,0.00196,0.00204003,0.00198855,207.45026934,103628.17083411,0.00200187
2015-12-07 16:00:00,0.0020798,0.001987,0.00199997,0.0020245,133.66905578,65733.92141418,0.00203348
2015-12-07 20:00:00,0.002065,0.00201144,0.0020245,0.00202774,73.58095174,36054.29078053,0.00204083
